transaction_id,transaction_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,cashier_id
TXN-000001,2024-07-31,107,5388,1039,1,659.19,0,Cash,EMP-069
TXN-000002,2024-06-25,137,5248,1225,5,829.1,25,Credit Card,EMP-023
TXN-000003,2024-05-21,126,5355,1104,1,351.62,20,Cash,EMP-031
TXN-000004,2024-01-26,102,5190,1191,3,326.11,10,Cash,EMP-036
TXN-000005,2024-09-08,115,,1220,2,1023.64,10,Mobile Pay,EMP-042
TXN-000006,2024-05-17,129,5096,1187,2,503.21,20,Mobile Pay,EMP-067
TXN-000007,2024-07-10,120,5033,1211,5,318.63,20,Debit Card,EMP-068
TXN-000008,2024-10-18,154,5102,1008,1,321.7,5,Credit Card,EMP-059
TXN-000009,2024-01-26,153,5188,1236,4,133.42,20,Credit Card,EMP-004
TXN-000010,2024-05-03,131,5491,1096,5,400.55,15,Cash,EMP-021
TXN-000011,2024-05-12,102,,1192,4,210.09,0,Debit Card,EMP-074
TXN-000012,2024-04-19,118,5105,1220,4,666.99,0,Credit Card,EMP-061
TXN-000013,2024-03-08,117,5114,1166,5,552.75,10,Cash,EMP-055
TXN-000014,2024-07-11,120,5238,1219,5,430.66,20,Gift Card,EMP-014
TXN-000015,2024-01-04,124,5429,1131,5,956.52,10,Cash,EMP-014
TXN-000016,2024-09-03,118,5166,1017,3,120.58,10,Debit Card,EMP-020
TXN-000017,2024-09-21,155,,1196,5,165.3,20,Cash,EMP-018
TXN-000018,2024-01-14,127,5464,1168,4,409.98,20,Credit Card,EMP-075
TXN-000019,2024-12-28,115,5365,1147,5,1181.36,25,Cash,EMP-065
TXN-000020,2024-06-02,112,5285,1217,3,167.03,0,Mobile Pay,EMP-017
TXN-000021,2024-05-12,144,5093,1186,3,594.38,0,Debit Card,EMP-046
TXN-000022,2024-04-24,122,5454,1191,3,439.26,10,Gift Card,EMP-038
TXN-000023,2024-08-25,141,,1218,5,291.95,0,Mobile Pay,EMP-025
TXN-000024,2024-09-13,127,5152,1031,1,326.91,0,Debit Card,EMP-026
TXN-000025,2024-06-24,110,5234,1105,3,98.72,0,Credit Card,EMP-063
TXN-000026,2024-06-19,101,5029,1162,4,1398.46,10,Debit Card,EMP-022
TXN-000027,2024-10-22,106,5399,1196,2,150.37,20,Mobile Pay,EMP-052
TXN-000028,2024-08-07,135,,1248,2,976.41,15,Credit Card,EMP-042
TXN-000029,2024-09-28,147,,1049,2,545.85,5,Cash,EMP-040
TXN-000030,2024-03-07,105,5085,1027,1,691.73,10,Cash,EMP-059
TXN-000031,2024-09-23,109,5351,1153,3,293.8,25,Cash,EMP-025
TXN-000032,2024-03-25,115,5009,1243,2,87.18,0,Debit Card,EMP-003
TXN-000033,2024-10-28,151,5333,1130,1,541.83,20,Cash,EMP-069
TXN-000034,2024-11-15,107,,1013,1,126.14,0,Credit Card,EMP-054
TXN-000035,2024-08-15,110,5359,1098,2,207.97,0,Cash,EMP-054
TXN-000036,2024-12-04,145,5310,1026,2,763.94,20,Credit Card,EMP-066
TXN-000037,2024-11-12,113,5254,1031,5,202.3,5,Cash,EMP-067
TXN-000038,2024-04-13,136,5020,1092,4,74.08,5,Mobile Pay,EMP-043
TXN-000039,2024-04-30,108,,1001,5,73.51,25,Debit Card,EMP-012
TXN-000040,2024-09-18,117,,1020,2,69.27,25,Cash,EMP-034
TXN-000041,2024-08-25,155,5020,1013,3,76.7,15,Cash,EMP-055
TXN-000042,2024-02-29,155,5004,1025,2,920.06,0,Cash,EMP-046
TXN-000043,2024-08-12,124,5047,1245,3,1101.78,0,Credit Card,EMP-052
TXN-000044,2024-07-23,155,5353,1247,4,484.03,20,Debit Card,EMP-015
TXN-000045,2024-03-08,111,5432,1179,1,837.87,20,Gift Card,EMP-062
TXN-000046,2024-10-18,123,5398,1174,5,318.97,0,Debit Card,EMP-062
TXN-000047,2024-09-06,117,5032,1029,3,966.99,0,Gift Card,EMP-074
TXN-000048,2024-10-16,134,5173,1058,5,1411.96,0,Mobile Pay,EMP-032
TXN-000049,2024-09-03,154,5076,1089,5,178.14,0,Credit Card,EMP-021
TXN-000050,2024-09-15,105,5084,1218,4,422.77,15,Debit Card,EMP-043
TXN-000051,2024-05-22,126,5193,1013,2,117.43,0,Mobile Pay,EMP-057
TXN-000052,2024-10-20,108,5161,1115,4,440.84,0,Credit Card,EMP-052
TXN-000053,2024-07-30,106,,1010,5,838.42,10,Gift Card,EMP-072
TXN-000054,2024-04-15,153,5186,1168,1,471.3,5,Mobile Pay,EMP-043
TXN-000055,2024-10-13,124,5336,1197,4,469.67,0,Credit Card,EMP-029
TXN-000056,2024-01-02,119,5409,1088,5,183.63,15,Credit Card,EMP-006
TXN-000057,2024-03-25,127,5369,1127,1,90.28,10,Gift Card,EMP-026
TXN-000058,2024-04-06,153,5234,1031,2,340.27,15,Credit Card,EMP-054
TXN-000059,2024-01-24,150,5063,1238,4,256.84,25,Gift Card,EMP-065
TXN-000060,2024-03-09,136,5024,1247,4,502.26,25,Gift Card,EMP-023
TXN-000061,2024-12-20,125,5053,1149,5,654.91,15,Gift Card,EMP-050
TXN-000062,2024-08-02,118,5127,1251,4,827.98,15,Cash,EMP-058
TXN-000063,2024-03-09,133,5383,1036,3,147.12,15,Gift Card,EMP-028
TXN-000064,2024-04-12,144,5176,1054,2,1061.26,0,Gift Card,EMP-070
TXN-000065,2024-12-21,123,,1164,5,520.54,25,Gift Card,EMP-074
TXN-000066,2024-12-07,135,5430,1182,3,539.05,20,Credit Card,EMP-067
TXN-000067,2024-02-24,104,,1007,2,195.01,10,Debit Card,EMP-037
TXN-000068,2024-12-15,151,,1065,3,485.29,5,Gift Card,EMP-005
TXN-000069,2024-07-02,148,5345,1209,5,458.9,5,Gift Card,EMP-050
TXN-000070,2024-05-01,145,5147,1131,1,833.02,20,Mobile Pay,EMP-054
TXN-000071,2024-12-16,148,,1081,3,1189.24,5,Gift Card,EMP-057
TXN-000072,2024-04-25,149,5188,1234,5,665.66,5,Debit Card,EMP-038
TXN-000073,2024-08-17,112,,1046,5,384.49,0,Mobile Pay,EMP-006
TXN-000074,2024-08-07,138,,1072,3,142.9,0,Cash,EMP-060
TXN-000075,2024-12-29,139,5165,1240,1,557.81,10,Mobile Pay,EMP-074
TXN-000076,2024-10-08,115,5269,1092,2,39.99,0,Gift Card,EMP-021
TXN-000077,2024-07-31,115,,1140,2,49.46,15,Cash,EMP-047
TXN-000078,2024-05-30,136,5243,1056,1,301.13,0,Cash,EMP-058
TXN-000079,2024-05-03,103,5124,1232,3,1084.2,20,Credit Card,EMP-050
TXN-000080,2024-05-11,134,,1139,3,151.14,25,Mobile Pay,EMP-006
TXN-000081,2024-05-31,107,5042,1230,2,406.64,0,Credit Card,EMP-027
TXN-000082,2024-12-09,154,5217,1162,1,1218.24,5,Gift Card,EMP-056
TXN-000083,2024-11-27,102,5078,1210,4,411.38,15,Credit Card,EMP-012
TXN-000084,2024-02-07,137,5036,1014,2,277.76,10,Mobile Pay,EMP-050
TXN-000085,2024-08-18,144,5199,1162,1,906.01,0,Gift Card,EMP-009
TXN-000086,2024-10-26,133,,1012,1,201.75,10,Cash,EMP-078
TXN-000087,2024-02-14,153,5202,1073,1,444.23,25,Debit Card,EMP-069
TXN-000088,2024-04-22,135,5434,1035,3,510.97,0,Cash,EMP-048
TXN-000089,2024-01-06,103,,1142,1,604.14,20,Gift Card,EMP-071
TXN-000090,2024-02-13,123,5371,1079,2,429.12,20,Gift Card,EMP-019
TXN-000091,2024-03-23,108,5099,1048,2,545.9,0,Gift Card,EMP-060
TXN-000092,2024-11-26,107,5128,1141,2,390.63,25,Cash,EMP-046
TXN-000093,2024-03-06,140,,1172,1,440.96,5,Cash,EMP-063
TXN-000094,2024-08-18,110,5299,1085,5,758.55,15,Cash,EMP-055
TXN-000095,2024-03-27,148,5364,1002,4,222.63,10,Cash,EMP-018
TXN-000096,2024-12-13,123,5228,1188,3,84.4,25,Gift Card,EMP-014
TXN-000097,2024-03-30,153,5439,1166,2,838.0,5,Cash,EMP-010
TXN-000098,2024-02-08,153,5015,1229,5,302.7,20,Gift Card,EMP-028
TXN-000099,2024-01-19,131,5276,1142,2,363.43,15,Mobile Pay,EMP-029
TXN-000100,2024-10-28,133,,1188,5,128.83,0,Mobile Pay,EMP-047
TXN-000101,2024-09-14,140,5412,1003,2,884.27,0,Mobile Pay,EMP-021
TXN-000102,2024-04-01,110,5495,1145,4,373.7,15,Credit Card,EMP-029
TXN-000103,2024-09-06,143,5021,1060,2,79.27,15,Mobile Pay,EMP-061
TXN-000104,2024-08-20,107,5165,1226,5,481.37,10,Cash,EMP-075
TXN-000105,2024-10-05,138,5187,1146,1,272.43,10,Mobile Pay,EMP-029
TXN-000106,2024-09-21,151,5249,1104,4,442.31,0,Gift Card,EMP-018
TXN-000107,2024-08-13,114,5143,1043,2,135.88,0,Debit Card,EMP-047
