product_id,product_name,category,subcategory,brand,unit_cost,supplier_name
1001,TechVolt Smartphones Basic,Electronics,Smartphones,TechVolt,60.11,Cascade Logistics
1002,TechVolt Smartphones Pro,Electronics,Smartphones,TechVolt,126.22,Pacific Wholesale
1003,TechVolt Smartphones Elite,Electronics,Smartphones,TechVolt,369.55,Northstar Procurement
1004,NovaWave Smartphones Basic,Electronics,Smartphones,NovaWave,297.29,Atlas Distribution
1005,PixelPro Smartphones Basic,Electronics,Smartphones,PixelPro,51.38,Meridian Imports
1006,SoundMax Smartphones Basic,Electronics,Smartphones,SoundMax,303.0,Northstar Procurement
1007,SoundMax Smartphones Pro,Electronics,Smartphones,SoundMax,103.42,Northstar Procurement
1008,SoundMax Smartphones Elite,Electronics,Smartphones,SoundMax,212.66,Continental Goods
1009,ByteEdge Smartphones Basic,Electronics,Smartphones,ByteEdge,142.7,Atlas Distribution
1010,ByteEdge Smartphones Pro,Electronics,Smartphones,ByteEdge,380.61,Pacific Wholesale
1011,ByteEdge Smartphones Elite,Electronics,Smartphones,ByteEdge,350.58,Pinnacle Trading
1012,TechVolt Laptops Basic,Electronics,Laptops,TechVolt,81.96,Pinnacle Trading
1013,TechVolt Laptops Pro,Electronics,Laptops,TechVolt,55.59,Harbor Freight Partners
1014,NovaWave Laptops Basic,Electronics,Laptops,NovaWave,182.69,Pinnacle Trading
1015,PixelPro Laptops Basic,Electronics,Laptops,PixelPro,135.94,Atlas Distribution
1016,PixelPro Laptops Pro,Electronics,Laptops,PixelPro,366.22,Northstar Procurement
1017,PixelPro Laptops Elite,Electronics,Laptops,PixelPro,66.79,Harbor Freight Partners
1018,SoundMax Laptops Basic,Electronics,Laptops,SoundMax,278.26,Evergreen Supply Chain
1019,ByteEdge Laptops Basic,Electronics,Laptops,ByteEdge,290.79,Summit Supply Co
1020,ByteEdge Laptops Pro,Electronics,Laptops,ByteEdge,27.68,Meridian Imports
1021,TechVolt Headphones Basic,Electronics,Headphones,TechVolt,492.68,Meridian Imports
1022,TechVolt Headphones Pro,Electronics,Headphones,TechVolt,433.91,Harbor Freight Partners
1023,NovaWave Headphones Basic,Electronics,Headphones,NovaWave,229.44,Pinnacle Trading
1024,NovaWave Headphones Pro,Electronics,Headphones,NovaWave,85.51,Pinnacle Trading
1025,PixelPro Headphones Basic,Electronics,Headphones,PixelPro,336.74,Summit Supply Co
1026,SoundMax Headphones Basic,Electronics,Headphones,SoundMax,319.31,Northstar Procurement
1027,SoundMax Headphones Pro,Electronics,Headphones,SoundMax,365.92,Pacific Wholesale
1028,SoundMax Headphones Elite,Electronics,Headphones,SoundMax,233.82,Cascade Logistics
1029,ByteEdge Headphones Basic,Electronics,Headphones,ByteEdge,345.64,Meridian Imports
1030,ByteEdge Headphones Pro,Electronics,Headphones,ByteEdge,343.88,Atlas Distribution
1031,ByteEdge Headphones Elite,Electronics,Headphones,ByteEdge,118.38,Atlas Distribution
1032,TechVolt Tablets Basic,Electronics,Tablets,TechVolt,203.58,Summit Supply Co
1033,TechVolt Tablets Pro,Electronics,Tablets,TechVolt,109.44,Evergreen Supply Chain
1034,NovaWave Tablets Basic,Electronics,Tablets,NovaWave,160.77,Continental Goods
1035,NovaWave Tablets Pro,Electronics,Tablets,NovaWave,200.84,Continental Goods
1036,NovaWave Tablets Elite,Electronics,Tablets,NovaWave,75.72,Pacific Wholesale
1037,PixelPro Tablets Basic,Electronics,Tablets,PixelPro,373.77,Northstar Procurement
1038,SoundMax Tablets Basic,Electronics,Tablets,SoundMax,374.77,Harbor Freight Partners
1039,SoundMax Tablets Pro,Electronics,Tablets,SoundMax,449.42,Harbor Freight Partners
1040,ByteEdge Tablets Basic,Electronics,Tablets,ByteEdge,113.56,Pacific Wholesale
1041,ByteEdge Tablets Pro,Electronics,Tablets,ByteEdge,257.22,Summit Supply Co
1042,TechVolt Cameras Basic,Electronics,Cameras,TechVolt,431.25,Pacific Wholesale
1043,NovaWave Cameras Basic,Electronics,Cameras,NovaWave,84.19,Harbor Freight Partners
1044,NovaWave Cameras Pro,Electronics,Cameras,NovaWave,300.22,Harbor Freight Partners
1045,NovaWave Cameras Elite,Electronics,Cameras,NovaWave,193.9,Continental Goods
1046,PixelPro Cameras Basic,Electronics,Cameras,PixelPro,129.45,Northstar Procurement
1047,PixelPro Cameras Pro,Electronics,Cameras,PixelPro,431.09,Atlas Distribution
1048,PixelPro Cameras Elite,Electronics,Cameras,PixelPro,341.74,Summit Supply Co
1049,SoundMax Cameras Basic,Electronics,Cameras,SoundMax,442.97,Cascade Logistics
1050,SoundMax Cameras Pro,Electronics,Cameras,SoundMax,385.46,Pinnacle Trading
1051,SoundMax Cameras Elite,Electronics,Cameras,SoundMax,60.22,Harbor Freight Partners
1052,ByteEdge Cameras Basic,Electronics,Cameras,ByteEdge,229.59,Cascade Logistics
1053,UrbanThread Mens Tops Basic,Clothing,Mens Tops,UrbanThread,382.17,Northstar Procurement
1054,UrbanThread Mens Tops Pro,Clothing,Mens Tops,UrbanThread,456.75,Cascade Logistics
1055,UrbanThread Mens Tops Elite,Clothing,Mens Tops,UrbanThread,421.63,Northstar Procurement
1056,PeakWear Mens Tops Basic,Clothing,Mens Tops,PeakWear,103.46,Pinnacle Trading
1057,PeakWear Mens Tops Pro,Clothing,Mens Tops,PeakWear,382.44,Northstar Procurement
1058,PeakWear Mens Tops Elite,Clothing,Mens Tops,PeakWear,476.98,Northstar Procurement
1059,Classique Mens Tops Basic,Clothing,Mens Tops,Classique,301.48,Continental Goods
1060,TrailBlaze Mens Tops Basic,Clothing,Mens Tops,TrailBlaze,60.37,Pinnacle Trading
1061,CozyKnit Mens Tops Basic,Clothing,Mens Tops,CozyKnit,123.53,Meridian Imports
1062,CozyKnit Mens Tops Pro,Clothing,Mens Tops,CozyKnit,439.61,Summit Supply Co
1063,UrbanThread Womens Tops Basic,Clothing,Womens Tops,UrbanThread,367.29,Summit Supply Co
1064,PeakWear Womens Tops Basic,Clothing,Womens Tops,PeakWear,384.09,Pacific Wholesale
1065,PeakWear Womens Tops Pro,Clothing,Womens Tops,PeakWear,331.58,Northstar Procurement
1066,PeakWear Womens Tops Elite,Clothing,Womens Tops,PeakWear,86.74,Northstar Procurement
1067,Classique Womens Tops Basic,Clothing,Womens Tops,Classique,214.45,Meridian Imports
1068,Classique Womens Tops Pro,Clothing,Womens Tops,Classique,464.81,Meridian Imports
1069,Classique Womens Tops Elite,Clothing,Womens Tops,Classique,357.91,Harbor Freight Partners
1070,TrailBlaze Womens Tops Basic,Clothing,Womens Tops,TrailBlaze,326.69,Continental Goods
1071,TrailBlaze Womens Tops Pro,Clothing,Womens Tops,TrailBlaze,450.31,Continental Goods
1072,TrailBlaze Womens Tops Elite,Clothing,Womens Tops,TrailBlaze,64.9,Meridian Imports
1073,CozyKnit Womens Tops Basic,Clothing,Womens Tops,CozyKnit,172.35,Evergreen Supply Chain
1074,UrbanThread Pants Basic,Clothing,Pants,UrbanThread,118.91,Meridian Imports
1075,UrbanThread Pants Pro,Clothing,Pants,UrbanThread,8.56,Atlas Distribution
1076,UrbanThread Pants Elite,Clothing,Pants,UrbanThread,118.33,Atlas Distribution
1077,PeakWear Pants Basic,Clothing,Pants,PeakWear,40.07,Meridian Imports
1078,PeakWear Pants Pro,Clothing,Pants,PeakWear,142.85,Continental Goods
1079,Classique Pants Basic,Clothing,Pants,Classique,271.92,Evergreen Supply Chain
1080,TrailBlaze Pants Basic,Clothing,Pants,TrailBlaze,238.97,Continental Goods
1081,TrailBlaze Pants Pro,Clothing,Pants,TrailBlaze,404.71,Meridian Imports
1082,TrailBlaze Pants Elite,Clothing,Pants,TrailBlaze,51.69,Harbor Freight Partners
1083,CozyKnit Pants Basic,Clothing,Pants,CozyKnit,214.67,Continental Goods
1084,CozyKnit Pants Pro,Clothing,Pants,CozyKnit,432.6,Atlas Distribution
1085,UrbanThread Outerwear Basic,Clothing,Outerwear,UrbanThread,328.46,Summit Supply Co
1086,UrbanThread Outerwear Pro,Clothing,Outerwear,UrbanThread,35.0,Pinnacle Trading
1087,UrbanThread Outerwear Elite,Clothing,Outerwear,UrbanThread,401.29,Summit Supply Co
1088,PeakWear Outerwear Basic,Clothing,Outerwear,PeakWear,99.84,Northstar Procurement
1089,Classique Outerwear Basic,Clothing,Outerwear,Classique,74.39,Pacific Wholesale
1090,Classique Outerwear Pro,Clothing,Outerwear,Classique,142.88,Meridian Imports
1091,TrailBlaze Outerwear Basic,Clothing,Outerwear,TrailBlaze,224.35,Northstar Procurement
1092,CozyKnit Outerwear Basic,Clothing,Outerwear,CozyKnit,30.04,Northstar Procurement
1093,UrbanThread Activewear Basic,Clothing,Activewear,UrbanThread,484.65,Meridian Imports
1094,PeakWear Activewear Basic,Clothing,Activewear,PeakWear,206.17,Continental Goods
1095,Classique Activewear Basic,Clothing,Activewear,Classique,433.0,Atlas Distribution
1096,TrailBlaze Activewear Basic,Clothing,Activewear,TrailBlaze,192.59,Harbor Freight Partners
1097,CozyKnit Activewear Basic,Clothing,Activewear,CozyKnit,463.63,Continental Goods
1098,CozyKnit Activewear Pro,Clothing,Activewear,CozyKnit,146.2,Northstar Procurement
1099,HomeNest Kitchen Basic,Home & Garden,Kitchen,HomeNest,360.61,Pacific Wholesale
1100,HomeNest Kitchen Pro,Home & Garden,Kitchen,HomeNest,99.0,Meridian Imports
1101,HomeNest Kitchen Elite,Home & Garden,Kitchen,HomeNest,484.51,Evergreen Supply Chain
1102,GreenThumb Kitchen Basic,Home & Garden,Kitchen,GreenThumb,273.39,Pinnacle Trading
1103,GreenThumb Kitchen Pro,Home & Garden,Kitchen,GreenThumb,33.3,Evergreen Supply Chain
1104,GreenThumb Kitchen Elite,Home & Garden,Kitchen,GreenThumb,241.01,Northstar Procurement
1105,BrightLux Kitchen Basic,Home & Garden,Kitchen,BrightLux,33.16,Northstar Procurement
1106,CraftMaster Kitchen Basic,Home & Garden,Kitchen,CraftMaster,426.41,Summit Supply Co
1107,PatioLife Kitchen Basic,Home & Garden,Kitchen,PatioLife,38.64,Meridian Imports
1108,PatioLife Kitchen Pro,Home & Garden,Kitchen,PatioLife,204.87,Evergreen Supply Chain
1109,PatioLife Kitchen Elite,Home & Garden,Kitchen,PatioLife,126.88,Evergreen Supply Chain
1110,HomeNest Bedding Basic,Home & Garden,Bedding,HomeNest,311.59,Harbor Freight Partners
1111,GreenThumb Bedding Basic,Home & Garden,Bedding,GreenThumb,293.92,Northstar Procurement
1112,GreenThumb Bedding Pro,Home & Garden,Bedding,GreenThumb,161.6,Cascade Logistics
1113,GreenThumb Bedding Elite,Home & Garden,Bedding,GreenThumb,106.11,Pinnacle Trading
1114,BrightLux Bedding Basic,Home & Garden,Bedding,BrightLux,136.48,Pacific Wholesale
1115,CraftMaster Bedding Basic,Home & Garden,Bedding,CraftMaster,324.52,Continental Goods
1116,CraftMaster Bedding Pro,Home & Garden,Bedding,CraftMaster,161.51,Summit Supply Co
1117,CraftMaster Bedding Elite,Home & Garden,Bedding,CraftMaster,9.61,Evergreen Supply Chain
1118,PatioLife Bedding Basic,Home & Garden,Bedding,PatioLife,498.07,Summit Supply Co
